,weight,total_gross_income,pitax,table_row
1781,10.0,0.0,0.0,3
7749,10.0,0.0,0.0,3
11048,10.0,0.0,0.0,3
11054,10.0,0.0,0.0,3
11056,10.0,0.0,0.0,3
11214,10.0,0.0,0.0,3
10909,10.0,0.0,0.0,3
11216,10.0,0.0,0.0,3
11239,10.0,0.0,0.0,3
7584,10.0,0.0,0.0,3
11455,10.0,0.0,0.0,3
11457,10.0,0.0,0.0,3
11461,10.0,0.0,0.0,3
11490,10.0,0.0,0.0,3
1870,10.0,0.0,0.0,3
7566,10.0,0.0,0.0,3
7564,10.0,0.0,0.0,3
7586,10.0,0.0,0.0,3
11517,10.0,0.0,0.0,3
7561,10.0,0.0,0.0,3
11519,10.0,0.0,0.0,3
7555,10.0,0.0,0.0,3
11522,10.0,0.0,0.0,3
1886,10.0,0.0,0.0,3
11548,10.0,0.0,0.0,3
11556,10.0,0.0,0.0,3
11585,10.0,0.0,0.0,3
7562,10.0,0.0,0.0,3
11442,10.0,0.0,0.0,3
7596,10.0,0.0,0.0,3
11431,10.0,0.0,0.0,3
11249,10.0,0.0,0.0,3
11250,10.0,0.0,0.0,3
11252,10.0,0.0,0.0,3
1829,10.0,0.0,0.0,3
11298,10.0,0.0,0.0,3
11304,10.0,0.0,0.0,4
11317,10.0,0.0,0.0,4
11332,10.0,0.0,0.0,4
11339,10.0,0.0,0.0,4
1841,10.0,0.0,0.0,4
11365,10.0,0.0,0.0,4
7621,10.0,0.0,0.0,4
11378,10.0,0.0,0.0,4
11385,10.0,0.0,0.0,4
11389,10.0,0.0,0.0,4
11396,10.0,0.0,0.0,4
11400,10.0,0.0,0.0,4
11418,10.0,0.0,0.0,4
11420,10.0,0.0,0.0,4
11228,10.0,0.0,0.0,4
15778,10.0,0.0,0.0,4
15779,10.0,0.0,0.0,4
6169,10.0,0.0,0.0,4
20725,10.0,0.0,0.0,4
4643,10.0,0.0,0.0,4
20733,10.0,0.0,0.0,4
20744,10.0,0.0,0.0,4
4636,10.0,0.0,0.0,4
20749,10.0,0.0,0.0,4
20751,10.0,0.0,0.0,4
20756,10.0,0.0,0.0,4
20718,10.0,0.0,0.0,4
20767,10.0,0.0,0.0,4
23268,10.0,0.0,0.0,4
20773,10.0,0.0,0.0,4
20797,10.0,0.0,0.0,4
20804,10.0,0.0,0.0,4
4608,10.0,0.0,0.0,4
20828,10.0,0.0,0.0,4
23256,10.0,0.0,0.0,4
20867,10.0,0.0,0.0,4
4623,10.0,0.0,0.0,4
20872,10.0,0.0,0.0,4
4651,10.0,0.0,0.0,4
20693,10.0,0.0,0.0,4
3180,10.0,0.0,0.0,4
20468,10.0,0.0,0.0,4
20476,10.0,0.0,0.0,4
20486,10.0,0.0,0.0,4
20508,10.0,0.0,0.0,4
20522,10.0,0.0,0.0,4
20558,10.0,0.0,0.0,4
4692,10.0,0.0,0.0,4
20711,10.0,0.0,0.0,4
20577,10.0,0.0,0.0,4
20584,10.0,0.0,0.0,4
20590,10.0,0.0,0.0,4
20605,10.0,0.0,0.0,4
4676,10.0,0.0,0.0,4
20628,10.0,0.0,0.0,4
20644,10.0,0.0,0.0,4
20661,10.0,0.0,0.0,4
20669,10.0,0.0,0.0,4
20582,10.0,0.0,0.0,4
20874,10.0,0.0,0.0,4
20880,10.0,0.0,0.0,4
20884,10.0,0.0,0.0,4
21148,10.0,0.0,0.0,4
21150,10.0,0.0,0.0,4
21167,10.0,0.0,0.0,4
21227,10.0,0.0,0.0,4
21237,10.0,0.0,0.0,4
21244,10.0,0.0,0.0,4
4472,10.0,0.0,0.0,4
21262,10.0,0.0,0.0,4
21121,10.0,0.0,0.0,4
4464,10.0,0.0,0.0,4
21274,10.0,0.0,0.0,4
4454,10.0,0.0,0.0,4
21291,10.0,0.0,0.0,4
4444,10.0,0.0,0.0,4
21305,10.0,0.0,0.0,4
3292,10.0,0.0,0.0,4
21308,10.0,0.0,0.0,4
21311,10.0,0.0,0.0,4
21271,10.0,0.0,0.0,4
4511,10.0,0.0,0.0,4
21120,10.0,0.0,0.0,4
21119,10.0,0.0,0.0,4
4589,10.0,0.0,0.0,4
3244,10.0,0.0,0.0,4
20928,10.0,0.0,0.0,4
3246,10.0,0.0,0.0,4
4580,10.0,0.0,0.0,4
23251,10.0,0.0,0.0,4
20944,10.0,0.0,0.0,4
20965,10.0,0.0,0.0,4
20986,10.0,0.0,0.0,4
21014,10.0,0.0,0.0,4
21032,10.0,0.0,0.0,4
3257,10.0,0.0,0.0,4
21041,10.0,0.0,0.0,4
21045,10.0,0.0,0.0,4
21053,10.0,0.0,0.0,4
21070,10.0,0.0,0.0,4
21080,10.0,0.0,0.0,4
21099,10.0,0.0,0.0,4
21101,10.0,0.0,0.0,4
20454,10.0,0.0,0.0,4
20437,10.0,0.0,0.0,4
3177,10.0,0.0,0.0,4
20434,10.0,0.0,0.0,4
4964,10.0,0.0,0.0,4
19716,10.0,0.0,0.0,4
4962,10.0,0.0,0.0,4
19739,10.0,0.0,0.0,4
4950,10.0,0.0,0.0,4
4949,10.0,0.0,0.0,4
19759,10.0,0.0,0.0,4
19810,10.0,0.0,0.0,4
19709,10.0,0.0,0.0,4
19827,10.0,0.0,0.0,4
